row_id,country_name,water_source,water_tech,status_id,management,pay,installer,install_year,status,source,adm1,adm2,wpdx_id,report_date,country_id,activity_id,data_lnk,orig_lnk,photo_lnk,converted,created,updated,lat_deg,lon_deg,location,count,fecal_coliform_presence,fecal_coliform_value,subjective_quality
141,Nicaragua,,Rehabilitate Well Project,yes,,,,1994,,El Porvenier,Boaco,Camoapa,wpdx-00000141,01/01/1994 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3833,-85.5146,"(12.3833, -85.5146)",1,,,
142,Nicaragua,,Rehabilitate Well Project,yes,,,,2014,,El Porvenier,,Camoapa,wpdx-00000142,01/01/2014 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3413,-85.5145,"(12.3413, -85.5145)",1,,,
143,Nicaragua,,Rehabilitate Well Project,yes,,,,1994,,El Porvenier,Boaco,Camoapa,wpdx-00000143,01/01/1994 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.386,-85.5125,"(12.386, -85.5125)",1,,,
144,Nicaragua,,New Community Well Project,yes,,,,2011,,El Porvenier,Boaco,Boaco,wpdx-00000144,01/01/2011 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4963,-85.5118,"(12.4963, -85.5118)",1,,,
145,Nicaragua,,Rehabilitate Well Project,yes,,,,1994,,El Porvenier,Boaco,Camoapa,wpdx-00000145,01/01/1994 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3866,-85.512,"(12.3866, -85.512)",1,,,
146,Nicaragua,,New Community Well Project,yes,,,,2010,,El Porvenier,Matagalpa,Dario,wpdx-00000146,01/01/2010 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4919,-85.5101,"(12.4919, -85.5101)",1,,,
147,Nicaragua,,New Community Well Project,yes,,,,2006,,El Porvenier,Boaco,Boaco,wpdx-00000147,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4864,-85.5078,"(12.4864, -85.5078)",1,,,
148,Nicaragua,,0,yes,,,,2012,,El Porvenier,Boaco,Camoapa,wpdx-00000148,01/01/2012 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4449,-85.5056,"(12.4449, -85.5056)",1,,,
149,Nicaragua,,Drilled Well,yes,,,,2013,,El Porvenier,,Camoapa,wpdx-00000149,01/01/2013 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3658,-85.5057,"(12.3658, -85.5057)",1,,,
150,Nicaragua,,0,yes,,,,2008,,El Porvenier,Boaco,Camoapa,wpdx-00000150,01/01/2008 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4449,-85.505,"(12.4449, -85.505)",1,,,
